mz,time,mz.min,mz.max,NumPres.All.Samples,NumPres.Biological.Samples,median_CV,Qscore,Max.Intensity,DW_140904_001.cdf,DW_140904_007.cdf,DW_140904_013.cdf,DW_140904_019.cdf,DW_140904_025.cdf,DW_140904_031.cdf,DW_140904_037.cdf,DW_140904_043.cdf,DW_140904_049.cdf,DW_140904_055.cdf,DW_140904_061.cdf,DW_140904_067.cdf,DW_140904_073.cdf,DW_140904_079.cdf,DW_140904_085.cdf,DW_140904_091.cdf,DW_140904_097.cdf,DW_140904_103.cdf,DW_140904_109.cdf,DW_140904_115.cdf,DW_140904_121.cdf,DW_140904_127.cdf,DW_140904_133.cdf,DW_140904_139.cdf,DW_140904_145.cdf,DW_140904_151.cdf,DW_140904_157.cdf,DW_140904_163.cdf,DW_140904_169.cdf,DW_140904_175.cdf,DW_140904_181.cdf,DW_140904_187.cdf,DW_140904_193.cdf,DW_140904_199.cdf,DW_140904_205.cdf,DW_140904_211.cdf,DW_140904_217.cdf
100.112589,463.8074848,100.1124999,100.1126332,27,6,27.72,1.793246849,108572273.3,0,0,101891931,108572273,37931992,0,0,0,23343315,5680810,34990114,0,46574852,20593245.67,40201871,14329473,19345031,0,0,39353032,9006576,0,0,0,0,0,0,0,15036127,41314443,34550605.5,0,0,23967261.5,26959556,38413081,20716286.5
100.9174067,68.35425451,100.9167542,100.9176256,103,36,11.19,1.082914372,12911133.28,0,3406057,5028509.333,4771035.5,4311284.333,4810272.667,4620281,5289839,5303556,4527943.5,4226944.667,5431754.5,4085813.667,4747530.333,4006067.667,5689262.333,4924299.667,4250651,4138334,4783023,4345145,5028492.333,3969034,5535560.5,5149930,10464261,9497524.667,7519039.333,6730075.667,4525174,5225160.333,4864535.667,4183080.667,4365376.333,4400508,6290679.667,3763963.667
100.9320804,366.8210591,100.9317625,100.9324198,32,7,17.04,0.590123126,6055851.408,5394768,0,4203562.5,2214063,4464218,4452136,3114561,4281281,0,0,0,0,2769566,2638383,0,4674561,0,0,6055851,4236620.333,4731112,5092364,2939558,764547,5519431,0,0,0,3381754,4390548,4130682,4870260,5304416.5,1050866,0,0,1511558.5
100.9569635,252.4232477,100.95673,100.9572332,23,4,15.36,0.679705446,10714792.95,0,0,10714793,4532635,2103517,6776073,6966636,5894705,5045868.333,8395141,6175842,8753294,0,4565391,1892286,6630628,0,0,8002440,0,0,0,6729868,0,7346310,0,3607923,0,6798080,0,0,0,0,0,0,0,0
100.9889248,146.5562386,100.9886667,100.9890616,76,25,16.63,1.512502517,10772195.96,0,4320707,3162895.667,1587388,1906552,1733876.5,1954790,1440181,5313147.333,1918675,1471834.5,1246832,3429530.5,3084590,644972,1655315,0,0,0,2838270,897287,1802960,643485,4883341,5258415.667,2680494,6349053.5,1762393,8005884.667,2831925.333,3657046,3206700.333,2340238.667,2567278.333,3265100.333,2686252,2997435.333
101.0350119,38.99864628,101.0345569,101.0352252,86,32,15,1.122661139,2175965.858,1947683,1313948.333,427101.6667,660197.3333,613923.5,537647,846465.5,599024,566858,460572.5,690442.3333,566695.6667,499737,555244.3333,0,433447.5,493847,534928.5,424379,421827.3333,479775.5,565828.5,626237,644832,497682.6667,781575,548009.6667,618449,477058,947794,620932,426732.3333,499982.3333,603700,523943.3333,556396,506011
101.0670205,40.50350561,101.0668575,101.0670883,110,37,12,3.663889444,7652227.438,6863144,4566431.667,3524255,3258423.667,3328844,2470036,3026674.667,2613681.667,2406350,2009295.333,2106434.333,2008653,2068750.333,1811280.667,1639430,1515898.5,1826082,1743650.667,1846678.333,1730785.333,1656324.333,1749827.333,1586269.333,1765674.667,2292759,1453290,1670343.667,1372647.667,1917856.667,1499256.667,1849179.667,1786258.333,1929933.667,2472226,1811367.667,1675175.333,1622681.667
101.0713918,151.46128,101.0712569,101.0716054,63,22,17.72,1.708591109,13685052.01,0,0,0,11260572,6174218.333,13535741,5553934.5,9289489,5099161,7336168.333,9223588.333,10715481.33,11633883.5,12727243,9030770,9959942.333,10527362,11056128.67,11470486,11135469.67,10746977,10883048.67,10190919.5,0,0,0,0,0,0,10960358.5,12911591.5,7084420,7304514.5,8841096,9742433,10158120.33,6213819
101.0714216,40.19268465,101.0712776,101.0716494,107,37,16.64,1.688935695,38053863.64,28782939.33,16374387.33,11587057.33,9666503,6392430.333,9792298,7814959.667,9718812.667,8398027.333,5887932.333,6886997,8282984.667,7303788,5956791.333,6193145,7260276.667,7108301,6392032,7766446.667,7328969.667,7010079,7390825.667,7705132,5726110,4879335.5,9230144.5,4812868.5,8146990,5010877,7227426.333,8588134.667,7530228,6790869.333,7251794.333,8332532.333,7796310.667,8588733
101.0795309,173.4866524,101.0792075,101.0797674,50,17,19.28,0.952810464,21076471.5,0,2318607.5,6947490,2914079.5,4709065,3321077.667,2310681.5,3180455,0,0,0,2477104,2417220,4863447,21076472,2008547.5,1827578,1504946,1646709.333,1703306,1464920,0,7476080,1768446.5,0,0,2355811,4224959,3488263.333,2835338.5,0,2693469.667,1119963.5,3723887.5,1578061,0,1949381.667
101.0795333,74.72783619,101.0794221,101.0797778,66,21,18.46,1.464691024,25860083.99,6251540,4453421,9483101.667,2550625.667,29872,0,2220037.667,993635.6667,2267667.333,1362613.5,3666430.667,27614,2389355.333,0,24385813,3451506,2063950,0,27669,3558759,1765747.667,3978866.333,9318417,46409,0,26067,0,3055504,0,2236185,2034143,0,2262930,4146056,3241674.333,3380475,1125960.667
101.5092,255.2663551,101.5085358,101.5093553,29,6,12.84,0.597537267,5138928.326,415400,0,1881515,0,4615421,1951345.5,5138928,3212280,0,0,0,0,2818299.667,0,2381116,3615039,1214450,0,4745221,4162814.5,4718561,3073193,4547159,0,0,0,3010799,0,0,4246779,3351206,4250716,0,4394551.667,3998754,0,0
101.5093032,317.9766852,101.5090859,101.5093915,36,7,37.35,0.517045834,9513895.385,0,0,0,3340736.5,1588394,5054261,5263958,716239,1083665,1007163,3719309,3846322,5344318,5630789.5,224276,0,4490007,0,4464441,0,0,696730,4640243,6003760,2433188,0,4474350,0,1244746,1739095,2012293,3358104.5,3345519,7260179,0,4541033.333,0
101.9516784,123.1432588,101.9513126,101.9519657,92,33,13.96,1.200558765,16368811.72,0,3862178,2555700.333,2139389,1560083.667,1121408,2094669,1997633.333,12677356.67,2191572,1978086,2650925,983218,2496114.333,775251.5,865639,767112.5,1118460.667,855099.6667,935498.6667,1322441.333,1246911,850427.6667,13295549,10033061.33,6645646,13580621.5,3306078,15860263,4388488.333,4474503,4582326.667,2881955,3667467.667,2064042.333,4211507.667,3318336.667
101.9845697,124.2118024,101.9842251,101.9848101,104,36,10.67,1.69232337,81439112.08,0,8686969.667,9213542,5574773.333,5601228.333,5766068.667,6845261.667,6512155.667,33792751.67,7311875.333,5980838.333,4741646.5,4568668.667,6849983,3956986.667,4039056.333,2893042.5,3873090.333,2706178,4252707.667,3368342.333,2988576,2893224,35497559,24563630,46028230,40715537.5,21153811.5,48996937,12034761,10806845.33,12115703.67,7313671,8433679,5581737.333,8754731.667,8032850.333
101.9846445,196.100121,101.9845391,101.9848647,17,2,20.55,0.535869787,4291377.803,0,2296390,0,1457719,0,0,2471932,0,0,0,2063422,2252948,3151597,0,0,3983131,650554,2695163,0,2554549,0,0,0,0,0,0,1589549,0,1678277,0,0,4291378,2045711,0,0,0,0
